school,grade,section,classroom,student,won_lottery,received_laptop,friend_won_lottery,use_all,use_home,use_school,use_cafe,use_friend_house,use_other,past_use_all,past_use_home,past_use_school,past_use_cafe,past_use_friend_house,past_use_other,past_week_home,past_week_school,past_week_cafe,past_week_friend_house,past_week_other,male,age,n_siblings,n_young_siblings,father_lives_home,father_works_home,mother_works_home,home_phone,home_power,home_car,home_moto,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,activity_9,activity_10,activity_11,psc_direct,psc_spillover
208330,3,1,20833031,2083300301002,0,0,0,544.0,481.0,60.0,3.0,0.0,0.0,380.0,190.0,0.0,0.0,0.0,190.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301003,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301005,1,1,0,116.0,116.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,80.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301006,0,0,0,380.0,180.0,80.0,120.0,0.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11428571428571428,0.269841269841277
208330,3,1,20833031,2083300301007,0,0,0,102.0,12.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301008,0,0,0,360.0,180.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301009,0,0,0,120.0,90.0,0.0,30.0,0.0,0.0,502.0,75.0,0.0,61.0,65.0,301.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301010,0,0,0,450.0,0.0,150.0,150.0,150.0,0.0,441.0,0.0,0.0,61.0,190.0,190.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.11428571428571428,0.269841269841277
208330,3,1,20833031,2083300301011,1,1,0,240.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301013,0,0,0,60.0,0.0,60.0,0.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301016,1,1,0,476.0,176.0,180.0,60.0,60.0,0.0,905.0,330.0,0.0,0.0,195.0,380.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301017,0,0,0,300.0,60.0,60.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301019,0,0,0,132.0,12.0,60.0,0.0,0.0,60.0,280.0,80.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11428571428571428,9.325873406851315e-15
208330,3,1,20833031,2083300301020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301021,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301023,0,0,0,31.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301024,0,0,0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11428571428571428,0.14285714285715223
208330,3,1,20833031,2083300301025,0,0,1,116.0,116.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301029,0,0,0,520.0,150.0,150.0,160.0,60.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301031,0,0,1,440.0,170.0,90.0,120.0,60.0,0.0,370.0,70.0,0.0,140.0,80.0,80.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11428571428571428,0.38217338217338936
208330,3,1,20833031,2083300301038,0,0,1,247.0,0.0,87.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11428571428571428,0.48102564102564827
208330,3,1,20833031,2083300301039,0,0,1,120.0,0.0,60.0,30.0,30.0,0.0,620.0,0.0,0.0,80.0,360.0,180.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11428571428571428,0.48102564102564827
208330,3,2,20833032,2083300302002,0,0,1,240.0,120.0,0.0,0.0,120.0,0.0,660.0,30.0,0.0,0.0,270.0,360.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.19047619047619047,0.6995798319327766
208330,3,2,20833032,2083300302005,0,0,1,185.0,185.0,0.0,0.0,0.0,0.0,600.0,120.0,0.0,0.0,360.0,120.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19047619047619047,0.579411764705887
208330,3,2,20833032,2083300302007,0,0,1,90.0,90.0,0.0,0.0,0.0,0.0,240.0,120.0,0.0,0.0,0.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.19047619047619047,0.579411764705887
208330,3,2,20833032,2083300302011,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.19047619047619047,0.6995798319327766
208330,3,2,20833032,2083300302015,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,200.0,80.0,0.0,0.0,0.0,120.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19047619047619047,0.579411764705887
208330,3,2,20833032,2083300302016,0,0,1,30.0,30.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.19047619047619047,0.6995798319327766
208330,3,2,20833032,2083300302017,0,0,1,30.0,0.0,0.0,30.0,0.0,0.0,370.0,0.0,0.0,220.0,150.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.19047619047619047,0.6995798319327766
208330,3,2,20833032,2083300302018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,95.0,0.0,95.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.19047619047619047,0.42647058823530126
208330,3,2,20833032,2083300302019,0,0,0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19047619047619047,0.579411764705887
208330,3,2,20833032,2083300302021,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.19047619047619047,0.6995798319327766
208330,3,2,20833032,2083300302022,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19047619047619047,0.579411764705887
208330,3,2,20833032,2083300302023,0,0,1,144.0,144.0,0.0,0.0,0.0,0.0,210.0,90.0,0.0,60.0,60.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19047619047619047,0.6995798319327766
208330,3,2,20833032,2083300302024,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.19047619047619047,0.6995798319327766
208330,3,3,20833033,2083300303001,0,0,0,240.0,0.0,240.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.10810810810810811,0.3705528188286882
208330,3,3,20833033,2083300303004,0,0,0,570.0,60.0,150.0,240.0,120.0,0.0,210.0,150.0,0.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10810810810810811,9.325873406851315e-15
208330,3,3,20833033,2083300303005,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10810810810810811,0.3705528188286882
208330,3,3,20833033,2083300303006,0,0,0,120.0,0.0,120.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10810810810810811,0.26108374384237165
208330,3,3,20833033,2083300303007,0,0,1,180.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10810810810810811,0.4673908467011988
208330,3,3,20833033,2083300303009,0,0,0,120.0,0.0,120.0,0.0,0.0,0.0,361.0,210.0,1.0,150.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10810810810810811,0.4673908467011988
208330,3,3,20833033,2083300303010,0,0,1,120.0,0.0,120.0,0.0,0.0,0.0,871.0,150.0,0.0,180.0,241.0,300.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.10810810810810811,0.3705528188286882
208330,3,3,20833033,2083300303012,0,0,0,120.0,0.0,120.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.10810810810810811,0.26108374384237165
