student,friend1,friend2,friend3,friend4
2083300301002.0,2083300301014.0,2083300301009.0,2083300301015.0,2083300301034.0
2083300301003.0,2083300301014.0,2083300301029.0,2083300301025.0,2083300301031.0
2083300301005.0,2083300301039.0,2083300301038.0,2083300301017.0,2083300301032.0
2083300301006.0,2083300301025.0,2083300301026.0,2083300301009.0,2083300301033.0
2083300301007.0,2083300301009.0,2083300301031.0,2083300301003.0,2083300301025.0
2083300301008.0,2083300301024.0,2083300301027.0,2083300301010.0,2083300301018.0
2083300301009.0,2083300301007.0,2083300301031.0,2083300301034.0,2083300301029.0
2083300301010.0,2083300301027.0,2083300301013.0,2083300301024.0,
2083300301011.0,2083300301027.0,2083300301008.0,2083300301021.0,2083300301010.0
2083300301013.0,2083300301018.0,2083300301010.0,2083300301024.0,2083300301037.0
2083300301016.0,2083300301039.0,2083300301038.0,2083300301007.0,2083300301022.0
2083300301017.0,2083300301024.0,2083300301021.0,2083300301033.0,2083300301020.0
2083300301018.0,2083300301024.0,2083300301027.0,2083300301021.0,2083300301008.0
2083300301019.0,,,,
2083300301020.0,2083300301021.0,2083300301017.0,2083300301003.0,
2083300301021.0,2083300301011.0,2083300301003.0,2083300301020.0,2083300301010.0
2083300301023.0,2083300301034.0,2083300301033.0,2083300301029.0,2083300301014.0
2083300301024.0,2083300301027.0,2083300301021.0,,
2083300301025.0,2083300301009.0,2083300301007.0,2083300301031.0,2083300301035.0
2083300301029.0,2083300301031.0,2083300301003.0,2083300301001.0,2083300301034.0
2083300301031.0,2083300301011.0,2083300301027.0,2083300301009.0,2083300301008.0
2083300301034.0,2083300301029.0,2083300301035.0,2083300301002.0,2083300301015.0
2083300301035.0,2083300301021.0,2083300301025.0,,
2083300301037.0,,,,
2083300301038.0,2083300301016.0,2083300301005.0,2083300301021.0,2083300301011.0
2083300301039.0,2083300301016.0,2083300301005.0,2083300301038.0,2083300301021.0
2083300302002.0,2083300302024.0,2083300302017.0,2083300302011.0,2083300302015.0
2083300302005.0,2083300302022.0,2083300302019.0,2083300302010.0,2083300302008.0
2083300302007.0,2083300302008.0,2083300302022.0,2083300302019.0,2083300302016.0
2083300302009.0,2083300302007.0,2083300302008.0,2083300302022.0,2083300302005.0
2083300302011.0,2083300302017.0,2083300302002.0,2083300302024.0,2083300302009.0
2083300302012.0,2083300302020.0,2083300302008.0,2083300302007.0,2083300302023.0
2083300302015.0,2083300302007.0,2083300302022.0,2083300302020.0,2083300302024.0
2083300302016.0,2083300302019.0,2083300302018.0,2083300302022.0,2083300302023.0
2083300302017.0,2083300302024.0,2083300302022.0,2083300302002.0,2083300302011.0
2083300302018.0,2083300302016.0,2083300302023.0,,
2083300302019.0,2083300302010.0,2083300302007.0,2083300302008.0,2083300302016.0
2083300302021.0,2083300302022.0,2083300302019.0,2083300302016.0,2083300302012.0
2083300302022.0,2083300302009.0,2083300302021.0,2083300302001.0,2083300302016.0
2083300302023.0,2083300302016.0,2083300302009.0,2083300302022.0,2083300302010.0
2083300302024.0,2083300302017.0,2083300302022.0,2083300302002.0,2083300302011.0
2083300302025.0,2083300302020.0,2083300302024.0,,
2083300303001.0,2083300303016.0,2083300303029.0,2083300303019.0,2083300303028.0
2083300303004.0,,,,
2083300303005.0,2083300303016.0,2083300303019.0,2083300303034.0,2083300303028.0
2083300303006.0,2083300303016.0,2083300303020.0,2083300303017.0,2083300303039.0
2083300303007.0,2083300303014.0,2083300303030.0,2083300303041.0,2083300303011.0
